Indicator_short,Year,Mozambique,Sub-Saharan Africa,Difference,pct_change_moz,pct_change_ssa,Complete_case,Trend
Enrollment,2023,NA,96.7635879516602,NA,NA,0.7832456456113723,FALSE,Increasing
Enrollment,2024,NA,97.1016311645508,NA,NA,0.34934960561763323,FALSE,Increasing
Enrollment,2025,NA,NA,NA,NA,NA,FALSE,Increasing
GDP,2000,327.12623979157,629.529731613317,-302.403491821747,NA,NA,TRUE,Increasing
GDP,2001,304.792138621913,587.39704857074,-282.604909948827,-6.827364623482139,-6.692723302297759,TRUE,Increasing
GDP,2002,313.886661721198,625.468994411853,-311.58233269065505,2.9838443801093235,6.481466996429421,TRUE,Increasing
GDP,2003,339.488737800648,766.500842930002,-427.01210512935404,8.15647149167186,22.54817581337751,TRUE,Increasing
GDP,2004,400.056973161545,926.435499820006,-526.378526658461,17.841014624898524,20.86555525218248,TRUE,Increasing
GDP,2005,436.773856167384,1073.52977403181,-636.7559178644259,9.177913514586471,15.877443625636353,TRUE,Increasing
GDP,2006,457.487647833183,1234.13340009531,-776.645752262127,4.742452272111478,14.9603327218702,TRUE,Increasing
GDP,2007,507.874923914304,1390.58865074962,-882.713726835316,11.013909625707331,12.677337040082318,TRUE,Increasing
GDP,2008,592.159111184122,1536.66763137174,-944.508520187618,16.59546146130256,10.504830493429798,TRUE,Increasing
GDP,2017,470.93856305196,1546.91774199323,-1075.97917894127,-20.47094198884504,0.6670349796032328,TRUE,Increasing
GDP,2018,517.507260258101,1620.54140805919,-1103.034147801089,9.888486707129779,4.759378218204064,TRUE,Increasing
GDP,2019,519.09255091362,1795.5612786554,-1276.46872774178,0.30633206087356696,10.800086299912518,TRUE,Increasing
GDP,2020,462.433876479921,1627.34569596297,-1164.911819483049,-10.914946541609556,-9.368412244799444,TRUE,Increasing
GDP,2021,509.907829475551,1785.46664916614,-1275.5588196905892,10.266106228420165,9.716494386867392,TRUE,Increasing
GDP,2022,578.251663751351,1865.11635260699,-1286.864688855639,13.403174127781636,4.461002028688039,TRUE,Increasing
GDP,2023,622.000297682823,1680.77966672218,-1058.779369039357,7.565673680497005,-9.883388005641091,TRUE,Increasing
GDP,2024,656.776824637306,1532.92763550207,-876.1508108647639,5.59107882810318,-8.796633737749096,TRUE,Increasing
GDP,2025,NA,NA,NA,NA,NA,FALSE,Increasing
